"Symbol","Ensembl","EntrezGeneID","Uniprot","Name","Protein_Coverage","Number_of_Unique_Peptides","Number_of_Peptides","M197vsM398","M197vsM180","M197vsM194","M202vsM194","M418vsM194","M202vsM180","M202vsM398","M418vsM180","M418vsM398","Number_of_ratios","Ratio_mean","Ratio_SEM","pvalue","FDR"
"7041","OTOL1","ENSG00000182447",131149,"A6NHN0","otolin 1",1.47,1,1,0.529,0.777,2.537,2.942,3.679,0.891,0.606,1.109,0.757,9,1.54,0.39,0.505,0.678
"7046","SMCHD1","ENSG00000101596",23347,"A6NHR9","structural maintenance of chromosomes flexible hinge domain containing 1",5.54,11,11,0.861,0.884,0.812,0.931,0.868,0.976,0.999,1.055,0.949,9,0.93,0.03,0.019,0.087
"7055","ARHGAP42","ENSG00000165895",143872,"A6NI28","Rho GTPase activating protein 42",1.03,1,1,0,0,1.019,0,1.223,0,0,0,0,2,0,0,0,0
"7058","MYMK","ENSG00000187616",389827,"A6NI61","myomaker, myoblast fusion factor",4.07,1,1,0,0,0,0,0,1.909,1.954,0,0,2,0,0,0,0
"7070","UNC119B","ENSG00000175970",84747,"A6NIH7","unc-119 lipid binding chaperone B",18.73,3,4,0.817,0.772,0.683,0.633,0.405,0.501,0.747,0.422,0.478,9,0.61,0.05,0,0.009
"7105","PCNX2","ENSG00000135749",80003,"A6NKB5","pecanex 2",1.08,2,2,1.045,1.91,0.82,0.38,0.678,0.875,0.478,1.551,0.852,9,0.95,0.16,0.372,0.554
"7245","MYH7B","ENSG00000078814",57644,"A7E2Y1","myosin heavy chain 7B",4.43,1,13,0.276,0.442,1.741,1.518,4.24,0.381,0.238,1.059,0.663,9,1.17,0.42,0.53,0.699
"7247","ARHGAP32","ENSG00000134909",9743,"A7KAX9","Rho GTPase activating protein 32",1.82,3,3,1.321,1.459,1.375,0.984,0.944,1.032,0.933,0.985,0.895,9,1.1,0.07,0.31,0.491
"7752","CENPX","ENSG00000169689",201254,"A8MT69","centromere protein X",9.88,1,1,0.914,1.129,0.972,1.071,0.677,1.23,0.994,0.773,0.628,9,0.93,0.07,0.062,0.183
"7810","FAM171A2","ENSG00000161682",284069,"A8MVW0","family with sequence similarity 171 member A2",8.47,5,5,1.115,1.209,1.797,2.301,1.499,1.494,1.247,1.382,1.026,9,1.45,0.13,0.01,0.059
"7814","PHF20L1","ENSG00000129292",51105,"A8MW92","PHD finger protein 20 like 1",1.47,1,2,0,0,0,1.199,0.776,0.853,0.611,0.549,0.395,6,0.73,0.11,0.032,0.121
"8002","FHAD1","ENSG00000142621",114827,"B1AJZ9","forkhead associated phosphopeptide binding domain 1",2.2,2,4,6.047,5.906,1.939,0.427,4.826,1.285,1.315,14.449,14.846,9,5.67,1.83,0.007,0.046
"11115","RABGAP1L","ENSG00000152061",9910,"B7ZAP0","RAB GTPase activating protein 1 like",14.62,1,3,0.862,0.788,1.261,1.37,2.034,0.846,0.924,1.25,1.371,9,1.19,0.13,0.101,0.242
"11523","MCRIP1","ENSG00000225663",348262,"C9JLW8","MAPK regulated corepressor interacting protein 1",39.18,3,3,1.139,1.209,1.523,1.434,1.603,1.133,1.077,1.251,1.183,9,1.28,0.06,0.001,0.014
"11524","MCRIP1","ENSG00000288213",348262,"C9JLW8","MAPK regulated corepressor interacting protein 1",39.18,3,3,1.139,1.209,1.523,1.434,1.603,1.133,1.077,1.251,1.183,9,1.28,0.06,0.001,0.014
"12166","PROB1","ENSG00000228672",389333,"E7EW31","proline rich basic protein 1",4.04,3,3,0.597,0,0.711,1.454,0.693,0,1.205,0,0.574,6,0.87,0.15,0.133,0.287
"13979","DNASE2","ENSG00000105612",1777,"O00115","deoxyribonuclease 2, lysosomal",6.11,2,2,0.392,0.872,0.538,0.452,0.505,0.835,0.315,0.804,0.363,9,0.56,0.07,0,0.008
"13980","AGPS","ENSG00000018510",8540,"O00116","alkylglycerone phosphate synthase",15.65,9,9,1.071,1.012,0.917,0.927,1.11,1.051,0.995,1.241,1.239,9,1.06,0.04,0.108,0.254
"13982","KIF2A","ENSG00000068796",3796,"O00139","kinesin family member 2A",16.57,9,10,0.871,0.833,0.873,1.023,0.902,0.998,1.031,0.873,0.838,9,0.92,0.03,0.003,0.03
"13986","DDX39A","ENSG00000123136",10212,"O00148","DExD-box helicase 39A",31.15,3,13,1.185,1.075,1.055,0.938,0.986,0.944,1.039,0.988,1.093,9,1.03,0.03,0.08,0.211
"13987","PDLIM1","ENSG00000107438",9124,"O00151","PDZ and LIM domain 1",27.36,8,8,0.632,1.309,0.969,0.829,1.26,1.365,0.483,2.276,0.846,9,1.11,0.18,0.795,0.883
"13988","ACOT7","ENSG00000097021",11332,"O00154","acyl-CoA thioesterase 7",12.63,4,4,1.219,0.985,0.813,0.717,0.638,0.859,1.061,0.868,1.174,9,0.93,0.07,0.426,0.609
"13990","MYO1C","ENSG00000197879",4641,"O00159","myosin IC",9.88,9,9,0.646,0.635,0.703,1,0.871,0.847,0.913,0.863,0.801,9,0.81,0.04,0.003,0.028
"13992","SNAP23","ENSG00000092531",8773,"O00161","synaptosome associated protein 23",26.07,5,5,1.678,2.024,0.995,0.991,0.698,1.201,1.193,1.139,1.098,9,1.22,0.13,0.192,0.362
"13996","AIP","ENSG00000110711",9049,"O00170","aryl hydrocarbon receptor interacting protein",22.42,5,5,1.083,0.902,0.855,0.906,0.83,1.003,1.267,0.904,1.224,9,1,0.05,0.926,0.961
"13998","GTPBP1","ENSG00000100226",9567,"O00178","GTP binding protein 1",15.4,6,6,0.821,0.908,0.735,1.02,1.003,1.247,1.126,1.22,1.107,9,1.02,0.06,0.892,0.942
"14001","STXBP3","ENSG00000116266",6814,"O00186","syntaxin binding protein 3",9.29,5,5,0.53,0.752,0.731,0.828,0.691,1.039,0.799,0.823,0.6,9,0.75,0.05,0,0.005
"14004","ARVCF","ENSG00000099889",421,"O00192","ARVCF delta catenin family member",7.8,4,4,0,0,0,0,0,2.262,1.923,1.453,1.241,4,1.72,0.23,0.044,0.149
"14005","C11orf58","ENSG00000110696",10944,"O00193","chromosome 11 open reading frame 58",26.23,4,4,1.198,0.982,0.899,0.797,1.189,1.018,1.046,0.864,1.576,9,1.06,0.08,0.315,0.497
"14008","AP3B1","ENSG00000132842",8546,"O00203","adaptor related protein complex 3 subunit beta 1",12.61,14,15,1.15,0.895,0.684,0.688,0.822,0.95,1.173,1.083,1.261,9,0.97,0.07,0.741,0.847
"14009","SULT2B1","ENSG00000088002",6820,"O00204","sulfotransferase family 2B member 1",2.74,1,1,1.299,1.495,1.649,1.572,1.495,1.408,1.222,1.332,1.161,9,1.4,0.05,0,0.005
"14014","NDUFS8","ENSG00000110717",4728,"O00217","NADH:ubiquinone oxidoreductase core subunit S8",8.57,2,2,1.081,1.215,1.296,0.95,0.921,1.042,0.8,1.005,0.773,9,1.01,0.06,0.633,0.778
"14020","PSMD11","ENSG00000108671",5717,"O00231","proteasome 26S subunit, non-ATPase 11",29.15,11,11,1.168,1.006,0.918,0.86,0.92,0.828,1.015,0.84,1.046,9,0.96,0.04,0.475,0.653
"14021","PSMD12","ENSG00000197170",5718,"O00232","proteasome 26S subunit, non-ATPase 12",24.12,10,11,1.163,1.064,0.867,0.721,0.694,0.93,0.955,0.837,0.864,9,0.9,0.05,0.058,0.175
"14022","PSMD9","ENSG00000110801",5715,"O00233","proteasome 26S subunit, non-ATPase 9",21.08,5,5,0.944,1.141,1.16,1.169,1.059,1.019,1.011,1.074,1.045,9,1.07,0.03,0.02,0.089
"14026","ATOX1","ENSG00000177556",475,"O00244","antioxidant 1 copper chaperone",13.24,2,2,1.587,0.984,0.733,0.595,0.851,0.789,1.271,1.122,1.817,9,1.08,0.14,0.427,0.61
"14029","MEN1","ENSG00000133895",4221,"O00255","menin 1",2.28,1,1,1.308,0.981,0.7,0.751,0.514,1.039,1.385,0.708,0.947,9,0.93,0.1,0.255,0.431
"14032","PGRMC1","ENSG00000101856",10857,"O00264","progesterone receptor membrane component 1",28.72,6,6,1.194,1.595,1.169,0.937,0.881,1.263,0.945,1.182,0.888,9,1.12,0.08,0.401,0.582
"14033","SUPT5H","ENSG00000196235",6829,"O00267","SPT5 homolog, DSIF elongation factor subunit",8.74,9,9,1.092,0.961,0.843,0.949,0.683,0.946,1.042,0.894,0.924,9,0.93,0.04,0.1,0.241
"14034","TAF4","ENSG00000280529",6874,"O00268","TATA-box binding protein associated factor 4",3.32,4,4,0.864,0.948,0.938,0.905,0.812,1.208,1.1,0.807,0.739,9,0.92,0.05,0.01,0.058
"14035","TAF4","ENSG00000130699",6874,"O00268","TATA-box binding protein associated factor 4",3.32,4,4,0.864,0.948,0.938,0.905,0.812,1.208,1.1,0.807,0.739,9,0.92,0.05,0.01,0.058
"14037","DFFA","ENSG00000160049",1676,"O00273","DNA fragmentation factor subunit alpha",19.34,5,5,1.007,0.889,0.958,0.871,0.972,0.887,0.952,0.903,0.998,9,0.94,0.02,0.021,0.094
"14039","HIP1","ENSG00000127946",3092,"O00291","huntingtin interacting protein 1",12.05,11,12,1.105,1.2,1.138,1.533,1.422,1.244,1.452,1.272,1.448,9,1.31,0.05,0,0.005
"14042","TULP2","ENSG00000104804",7288,"O00295","TUB like protein 2",2.31,1,1,0.778,1.296,1.433,1.653,1.142,1.478,0.886,1.016,0.612,9,1.14,0.12,0.985,0.992
"14043","CLIC1","ENSG00000226417",1192,"O00299","chloride intracellular channel 1",48.13,10,10,0.841,0.759,0.756,0.914,0.962,1.003,1.17,1.169,1.341,9,0.99,0.07,0.968,0.984
"14044","CLIC1","ENSG00000230685",1192,"O00299","chloride intracellular channel 1",48.13,10,10,0.841,0.759,0.756,0.914,0.962,1.003,1.17,1.169,1.341,9,0.99,0.07,0.968,0.984
"14045","CLIC1","ENSG00000226248",1192,"O00299","chloride intracellular channel 1",48.13,10,10,0.841,0.759,0.756,0.914,0.962,1.003,1.17,1.169,1.341,9,0.99,0.07,0.968,0.984
"14046","CLIC1","ENSG00000206394",1192,"O00299","chloride intracellular channel 1",48.13,10,10,0.841,0.759,0.756,0.914,0.962,1.003,1.17,1.169,1.341,9,0.99,0.07,0.968,0.984
"14047","CLIC1","ENSG00000213719",1192,"O00299","chloride intracellular channel 1",48.13,10,10,0.841,0.759,0.756,0.914,0.962,1.003,1.17,1.169,1.341,9,0.99,0.07,0.968,0.984
"14048","CLIC1","ENSG00000223639",1192,"O00299","chloride intracellular channel 1",48.13,10,10,0.841,0.759,0.756,0.914,0.962,1.003,1.17,1.169,1.341,9,0.99,0.07,0.968,0.984
"14049","CLIC1","ENSG00000226651",1192,"O00299","chloride intracellular channel 1",48.13,10,10,0.841,0.759,0.756,0.914,0.962,1.003,1.17,1.169,1.341,9,0.99,0.07,0.968,0.984
"14051","EIF3F","ENSG00000175390",8665,"O00303","eukaryotic translation initiation factor 3 subunit F",18.21,5,5,1.014,0.615,0.734,0.9,0.935,0.751,1.236,0.714,1.323,9,0.91,0.08,0.524,0.693
"14060","PDHX","ENSG00000110435",8050,"O00330","pyruvate dehydrogenase complex component X",14.17,7,7,0.885,1.154,1.066,0.905,0.975,0.885,0.713,1.001,0.828,9,0.93,0.04,0.139,0.295
"14068","DCTN6","ENSG00000104671",10671,"O00399","dynactin subunit 6",9.47,2,2,1.102,1,1.143,1.294,1.371,1.119,1.232,1.18,1.305,9,1.19,0.04,0,0.01
"14073","IPO5","ENSG00000065150",3843,"O00410","importin 5",11.67,12,12,0.984,0.628,0.53,0.607,0.663,0.732,1.05,0.768,1.214,9,0.8,0.08,0.08,0.213
"14078","SAP18","ENSG00000150459",10284,"O00422","Sin3A associated protein 18",22.22,5,5,0.927,1.14,1.327,1.297,1.053,1.175,0.977,0.945,0.83,9,1.07,0.06,0.632,0.778
"14080","IGF2BP3","ENSG00000136231",10643,"O00425","insulin like growth factor 2 mRNA binding protein 3",40.41,19,24,1.016,0.754,0.702,0.893,0.907,0.923,1.267,0.953,1.285,9,0.97,0.07,0.801,0.885
"14081","DNM1L","ENSG00000087470",10059,"O00429","dynamin 1 like",26.36,14,14,1.014,0.617,0.623,0.743,0.715,0.703,1.168,0.669,1.139,9,0.82,0.07,0.089,0.226
"14082","RTCA","ENSG00000137996",8634,"O00442","RNA 3'-terminal phosphate cyclase",9.84,3,3,0.981,1.013,0.903,0.939,0.832,0.947,1.222,0.835,1.082,9,0.97,0.04,0.611,0.761
"14083","PIK3C2A","ENSG00000011405",5286,"O00443","phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha",0.83,1,2,0,0.533,0.606,0,0,0,0,0,1.311,3,0.82,0.25,0.564,0.726
"14095","IFRD1","ENSG00000006652",3475,"O00458","interferon related developmental regulator 1",1.77,1,1,0.689,0.651,1.669,1,0.987,0.386,0.407,0.378,0.402,9,0.73,0.14,0.037,0.133
"14097","GOLIM4","ENSG00000173905",27333,"O00461","golgi integral membrane protein 4",9.48,6,6,0.822,1.368,1.202,1.248,1.247,1.404,0.949,1.164,0.772,9,1.13,0.08,0.563,0.725
"14100","AGRN","ENSG00000188157",375790,"O00468","agrin",3.63,5,6,1.096,1.111,1.084,0.898,1.1,1.019,1.021,1.108,1.046,9,1.05,0.02,0.051,0.162
"14101","PLOD2","ENSG00000152952",5352,"O00469","procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",9.77,7,7,1.131,1.687,1.264,1.211,1.39,1.519,1.041,1.7,1.098,9,1.34,0.08,0.005,0.038
"14103","EXOC5","ENSG00000070367",10640,"O00471","exocyst complex component 5",4.94,3,4,1.831,2.001,1.765,0.921,0.549,1.031,0.943,0.612,0.562,9,1.14,0.19,0.791,0.88
"14107","HMGN4","ENSG00000182952",10473,"O00479","high mobility group nucleosomal binding domain 4",23.33,2,2,0.919,1.436,1.326,1.096,1.136,1.128,0.731,1.05,0.854,9,1.08,0.07,0.726,0.838
"14110","NDUFA4","ENSG00000189043",4697,"O00483","NDUFA4 mitochondrial complex associated",28.4,3,3,0.873,0.879,1.004,1.079,0.938,0.994,0.984,0.808,0.84,9,0.93,0.03,0.025,0.106
"14111","PSMD14","ENSG00000115233",10213,"O00487","proteasome 26S subunit, non-ATPase 14",11.61,4,4,0.839,0.526,0.67,0.853,1.094,0.968,1.151,1.01,1.218,9,0.93,0.08,0.394,0.575
"14112","ZNF593","ENSG00000142684",51042,"O00488","zinc finger protein 593",10.45,1,1,0.82,1.145,1.183,1.087,1.253,1.039,0.743,1.191,0.856,9,1.04,0.06,0.972,0.986
"14113","BIN1","ENSG00000136717",274,"O00499","bridging integrator 1",34.91,18,20,1.081,1.241,2.054,1.922,2.457,1.268,0.997,1.361,1.318,9,1.52,0.17,0.006,0.044
"14115","KPNA3","ENSG00000102753",3839,"O00505","karyopherin subunit alpha 3",16.31,4,8,1.013,0.761,0.779,0.916,0.701,1.003,1.328,0.698,0.959,9,0.91,0.07,0.118,0.268
"14118","BCL9","ENSG00000116128",607,"O00512","BCL9 transcription coactivator",5.75,5,5,1.145,1.485,1.372,1.13,1.53,1.209,0.931,1.628,1.26,9,1.3,0.07,0.003,0.026
"14125","VWA5A","ENSG00000110002",4013,"O00534","von Willebrand factor A domain containing 5A",14.5,10,10,0.966,0.873,0.851,0.832,0.913,1.024,1.123,1.044,1.268,9,0.99,0.05,0.989,0.993
"14126","PES1","ENSG00000100029",23481,"O00541","pescadillo ribosomal biogenesis factor 1",10.71,6,6,0.887,1.132,0.943,0.719,0.735,0.789,0.708,0.791,0.722,9,0.83,0.05,0.005,0.036
"14131","SDCBP","ENSG00000137575",6386,"O00560","syndecan binding protein",5.7,2,2,0.908,0.938,1.116,1.877,1.116,1.559,1.508,0.923,0.897,9,1.2,0.12,0.322,0.503
"14133","MPHOSPH10","ENSG00000124383",10199,"O00566","M-phase phosphoprotein 10",11.89,8,9,1.343,1.241,1.166,0.858,0.951,0.914,0.985,1.008,1.095,9,1.06,0.05,0.173,0.339
"14134","NOP56","ENSG00000101361",10528,"O00567","NOP56 ribonucleoprotein",36.7,18,18,0.955,1.011,0.908,0.764,0.686,0.838,0.822,0.744,0.734,9,0.83,0.04,0.002,0.02
"14136","DDX3X","ENSG00000215301",1654,"O00571","DEAD-box helicase 3 X-linked",33.38,8,21,0.979,0.776,0.707,0.767,0.758,0.799,1.015,0.762,1.017,9,0.84,0.04,0.017,0.082
"14138","RNASET2","ENSG00000026297",8635,"O00584","ribonuclease T2",6.64,2,2,0.986,1.201,1.227,1.077,1.305,1.042,0.854,1.255,1.034,9,1.11,0.05,0.075,0.206
"14143","PODXL","ENSG00000128567",5420,"O00592","podocalyxin like",7.53,4,4,1.032,2.204,1.035,0.495,0.856,1.168,0.536,1.793,0.94,9,1.12,0.19,0.923,0.959
"14148","PIR","ENSG00000087842",8544,"O00625","pirin",3.45,1,1,0,0,0,0,0,0,0,0,1.166,1,0,0,0,0
"14151","KPNA4","ENSG00000186432",3840,"O00629","karyopherin subunit alpha 4",14.59,3,7,0.792,1.03,0.741,0.83,0.645,1.014,0.876,0.771,0.68,9,0.82,0.04,0.001,0.013
"14154","TRIM38","ENSG00000112343",10475,"O00635","tripartite motif containing 38",2.37,1,1,0,0,0,0,1.611,0,0,0.763,0,2,0,0,0,0
"14159","NME4","ENSG00000103202",4833,"O00746","NME/NM23 nucleoside diphosphate kinase 4",4.28,1,1,1.454,1.829,1.203,0.994,1.131,1.493,1.186,1.69,1.348,9,1.37,0.09,0.002,0.023
"14162","MAN2B1","ENSG00000104774",4125,"O00754","mannosidase alpha class 2B member 1",9.2,8,8,1.095,1.463,1.013,0.844,0.986,1.188,0.886,1.605,0.835,9,1.1,0.09,0.641,0.785
"14168","SCD","ENSG00000099194",6319,"O00767","stearoyl-CoA desaturase",3.62,1,1,1.216,1.325,1.769,1.702,2.226,1.26,1.155,1.882,1.733,9,1.59,0.12,0,0.006
"14173","PLPP3","ENSG00000162407",8613,"O14495","phospholipid phosphatase 3",7.07,2,2,1.424,2.922,1.546,1.565,0.433,3.866,1.882,0.812,0.397,9,1.65,0.38,0.927,0.961
"14174","ARID1A","ENSG00000117713",8289,"O14497","AT-rich interaction domain 1A",13.39,22,22,1.151,1.229,1.043,1.018,1.014,1.161,1.055,1.134,1.065,9,1.1,0.02,0.006,0.043
"14189","NEMP1","ENSG00000166881",23306,"O14524","nuclear envelope integral membrane protein 1",3.83,2,2,0.5,0.798,0.842,1.338,0.992,1.252,0.783,0.924,0.581,9,0.89,0.09,0.044,0.149
"14193","TXNDC9","ENSG00000115514",10190,"O14530","thioredoxin domain containing 9",11.95,3,3,1.276,1.114,1.289,1.055,1.439,1.047,1.116,1.135,1.463,9,1.21,0.05,0.001,0.013
"14194","DPYSL4","ENSG00000151640",10570,"O14531","dihydropyrimidinase like 4",9.97,5,5,1.306,1.125,1.263,1.237,2.176,1.089,1.263,1.906,2.22,9,1.51,0.15,0.001,0.018
"14197","TRAFD1","ENSG00000135148",10906,"O14545","TRAF-type zinc finger domain containing 1",6.19,3,3,0,0,0,0.747,1.651,0,0,1.545,1.779,4,1.43,0.23,0.095,0.235
"14198","COX7A2L","ENSG00000115944",9167,"O14548","cytochrome c oxidase subunit 7A2 like",26.32,3,3,0.82,0.767,1.033,1.278,1.038,0.938,0.864,0.758,0.76,9,0.92,0.06,0.088,0.223
"14202","NDUFAB1","ENSG00000004779",4706,"O14561","NADH:ubiquinone oxidoreductase subunit AB1",15.38,3,3,1.047,1.655,1.6,1.301,1.133,1.302,0.819,1.073,0.695,9,1.18,0.11,0.526,0.695
"14203","UBFD1","ENSG00000103353",56061,"O14562","ubiquitin family domain containing 1",12.94,4,4,1.226,1.126,1.237,1.252,1.5,1.044,1.132,1.363,1.469,9,1.26,0.05,0,0.005
"14207","CIT","ENSG00000122966",11113,"O14578","citron rho-interacting serine/threonine kinase",2.71,5,5,2.201,1.483,1.207,0.791,0.998,1.266,1.975,1.205,1.836,9,1.44,0.16,0.015,0.076
"14208","COPE","ENSG00000105669",11316,"O14579","coatomer protein complex subunit epsilon",11.04,4,4,0.939,0.754,1.206,1.26,1.335,0.884,1.168,0.932,1.237,9,1.08,0.07,0.175,0.34
"14212","CTDSP2","ENSG00000175215",10106,"O14595","CTD small phosphatase 2",4.06,1,1,0,0,0,1.367,0,1.457,0,0,0,2,0,0,0,0
"14225","EIF1AY","ENSG00000198692",9086,"O14602","eukaryotic translation initiation factor 1A Y-linked",40.28,1,7,0.75,8.18,1.871,2.283,2.894,9.864,0.903,12.442,1.144,9,4.48,1.48,0.045,0.15
"14235","AP3D1","ENSG00000065000",8943,"O14617","adaptor related protein complex 3 subunit delta 1",11.45,9,9,1.032,0.77,0.698,0.688,0.664,0.923,1.178,0.738,1.024,9,0.86,0.06,0.056,0.172
"14236","CCS","ENSG00000173992",9973,"O14618","copper chaperone for superoxide dismutase",21.53,4,4,1.163,0.991,1.287,1.161,1.838,1.034,0.999,1.233,1.336,9,1.23,0.09,0.008,0.051
"14243","ABLIM1","ENSG00000099204",3983,"O14639","actin binding LIM protein 1",8.61,5,6,0.816,2.693,2.814,3.41,4.617,3.225,0.976,4.343,1.321,9,2.69,0.47,0.011,0.061
"14245","DVL2","ENSG00000004975",1856,"O14641","dishevelled segment polarity protein 2",7.34,4,4,1.337,1.295,1.229,0,1.084,0,0,1.123,1.165,6,1.21,0.04,0.001,0.014
"14247","CHD1","ENSG00000153922",1105,"O14646","chromodomain helicase DNA binding protein 1",7.6,7,7,1.111,1.35,0.804,1.029,0.689,1.434,1.191,1.148,1.013,9,1.09,0.08,0.776,0.87
"14248","CHD2","ENSG00000173575",1106,"O14647","chromodomain helicase DNA binding protein 2",3.94,6,6,0,0,0,0,0.599,0,0.561,0.974,1.288,4,0.86,0.17,0.509,0.682
"14253","TOR1A","ENSG00000136827",1861,"O14656","torsin family 1 member A",13.25,4,4,0.97,1.573,1.256,1.016,1.027,0.916,0.627,1.331,0.8,9,1.06,0.1,0.886,0.938
"14254","TOR1B","ENSG00000136816",27348,"O14657","torsin family 1 member B",7.44,2,3,0.993,1.238,0.866,0.778,0.692,1.1,0.881,0.973,0.783,9,0.92,0.06,0.057,0.174
"14255","STX16","ENSG00000124222",8675,"O14662","syntaxin 16",11.08,3,3,1.315,1.026,1.222,1.164,1.135,0.966,1.237,0.937,1.205,9,1.13,0.04,0.003,0.029
"14258","ADAM10","ENSG00000137845",102,"O14672","ADAM metallopeptidase domain 10",8.29,6,6,1.279,1.304,1.325,1.034,1.105,1.338,1.013,1.227,0.998,9,1.18,0.05,0.014,0.073
"14262","TP53I11","ENSG00000175274",9537,"O14683","tumor protein p53 inducible protein 11",13.23,2,2,0.809,0.928,1.258,1.42,1.4,1.035,0.901,1.015,0.888,9,1.07,0.08,0.615,0.764
"14264","KMT2D","ENSG00000167548",8085,"O14686","lysine methyltransferase 2D",3.02,9,9,2.569,1.581,1.363,1.382,0.991,1.583,2.57,0.984,1.201,9,1.58,0.2,0.016,0.079
"14272","RIOK3","ENSG00000101782",8780,"O14730","RIO kinase 3",1.54,1,1,0.941,1.082,1.262,1.146,1.294,0.971,0.844,1.091,0.953,9,1.06,0.05,0.291,0.472
"14273","IMPA2","ENSG00000141401",3613,"O14732","inositol monophosphatase 2",7.29,2,2,0,0,0,0.891,0,0,0,0,0,1,0,0,0,0
"14274","MAP2K7","ENSG00000076984",5609,"O14733","mitogen-activated protein kinase kinase 7",1.91,1,1,1.112,0.971,1.032,1.789,0.969,1.664,1.903,0.896,1.03,9,1.26,0.13,0.17,0.335
